S No.,Brand,City - Cold Weather *(km),Highway - Cold Weather *(km),Combined - Cold Weather *(km),City - Mild Weather *(km),Highway - Mild Weather *(km),Combined - Mild Weather *(km),Acceleration 0 - 100 km/h(sec),Top Speed(km/h),Electric Range *(km),Total Power(kW),Total Torque(Nm),Drive,Nominal Capacity(kWh),Range(km),Rated Consumption(Wh/km),Vehicle Consumption(Wh/km),Length(mm),Width(mm),Height(mm),Wheelbase(mm),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Voume
137,Mercedes,445,330,385,650,420,515,4.9,210,455,300,858,AWD,100,547,190,166,4863,1940,1685,3030,3095,610,520
138,Jaguar,385,270,325,550,340,430,4.8,200,380,294,696,AWD,90,470,220,180,4682,2011,1566,2990,2670,519,505
139,Mercedes,345,250,295,510,320,400,6,160,350,215,520,AWD,69.7,438,175,152,4463,1834,1620,2729,2535,505,340
140,Skoda,300,215,255,450,280,350,11.3,160,305,109,220,Rear,55,362,159,144,4649,1879,1616,2764,2412,550,585
141,Volvo,470,335,400,665,425,525,5.9,180,465,300,770,AWD,111,585,209,183,5037,1964,1744,2985,3370,634,310
142,MG,265,190,225,400,240,305,7.7,185,265,130,280,Front,50.3,320,179,144,4600,1818,1543,2659,2017,455,479
143,Volkswagen,395,285,340,575,365,455,6.3,180,400,220,460,AWD,82,509,172,151,4584,1852,1631,2771,2750,586,543
144,NIO,475,370,425,705,480,580,3.8,200,505,480,850,AWD,100,580,190,155,5101,1987,1509,3060,2900,521,363
145,Citroen,310,225,265,475,290,365,10,150,320,115,260,Front,54,415,149,122,4360,1800,1525,2670,2017,455,380
146,Volvo,400,285,340,585,365,455,4.7,180,400,300,670,AWD,82,548,174,144,4440,1873,1596,2702,2640,530,419
147,Renault,370,270,320,570,350,445,10.5,150,380,96,250,Front,65,470,155,128,4200,1860,1505,2685,2017,504,440
148,Mercedes,500,360,430,720,455,565,6.7,210,500,265,568,Rear,120,672,182,161,5125,1959,1718,3210,3265,645,645
149,Genesis,350,250,300,505,315,395,4.2,235,350,360,700,AWD,77.4,455,192,163,4715,1910,1630,2875,2845,610,503
150,Mercedes,465,355,410,685,455,555,6.3,210,485,215,765,AWD,100,597,175,152,4946,1906,1503,3120,2970,580,430
